Request page,,,,,,,,,
(Inthis page only show the pending withdraw request list),,,,,,,,,
Deposit (3),Withdraw (2),,,,,,,,
,,,,,,,,,
SL Number,Transection ID,Date & Time,User Name & ID,Channel,Account,Amount,Action,,
2,1234567890123,14/08/2023 10:05:31,abcdef 123456,Crypto,Tkvh.................kjl3,$150 ,[Update],(After update the status this  table information will move to the withdraw list page.),
1,1234567890123,14/08/2023 10:05:31,abcdef 123456,Bank,123...................000,$100 ,[Update],,
1,1234567890123,14/08/2023 10:05:31,abcdef 123456,Crypto,Tkvh.................kjl3,$200 ,[Update],,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,Balance :,,$300 ,,,,,
,,Transection ID : ,,1234567890123,,,,,
,,Date & Time : ,,14/08/2023 10:05:31,,,,,
,,User Name & ID : ,,abcdef (123456),,,,,
,,Register Date : ,,12/8/2023,,,,,
,,Country :,,USA,,,,,
,,Referral User Name :,,John,,,,,
,,Channel :,,Crypto,,,,,
,,Payment Method :,,TRC20,,,,,
,,Account : ,,Tkvh.................kjl3,,,,,
,,Amount : ,,$150.00 ,,,,,
,,Withdrawal Fee (5%): ,,$7.50 ,,,,,
,,Receivable Amount :,,$142.50 ,,,,,
,,,,,,,,,
,,,,,,,,,
,,Close,,Update,,,,,
,,,,,Rejected,Please write the purpose of rejection.,,,Optional.
,,,,,Approved,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,Confirm,,Close,,
